S.No,Post,Caste,Count
1,उपाध्यक्ष,माझी,2
2,उपाध्यक्ष,पण्डित,1
3,उपाध्यक्ष,मगर,9
4,उपाध्यक्ष,पन्थ,1
5,उपाध्यक्ष,चमार,1
6,उपाध्यक्ष,घर्ती,1
7,उपाध्यक्ष,दवाडी,1
8,उपाध्यक्ष,(घिसिङ),1
9,उपाध्यक्ष,भोटे,1
10,उपाध्यक्ष,कुर्मी,1
11,उपाध्यक्ष,भाड,1
12,उपाध्यक्ष,खड्का,3
13,उपाध्यक्ष,सुब्वा,1
14,उपाध्यक्ष,(मल्ल),1
15,उपाध्यक्ष,शाही,7
16,उपाध्यक्ष,ज्ञवाली,2
17,उपाध्यक्ष,विष्ट(खडका),1
18,उपाध्यक्ष,गौतम,2
19,उपाध्यक्ष,विष्‍ट(चौलागाई),1
20,उपाध्यक्ष,धामी,2
21,उपाध्यक्ष,भण्‍डारी,1
22,उपाध्यक्ष,साउँद,1
23,उपाध्यक्ष,राई,25
24,उपाध्यक्ष,घिमिरे,2
25,उपाध्यक्ष,भूर्तेल,1
26,उपाध्यक्ष,कार्की,5
27,उपाध्यक्ष,ओली,2
28,उपाध्यक्ष,श्रेष्‍ठ,5
29,उपाध्यक्ष,छन्तयाल,1
30,उपाध्यक्ष,(रावल),1
31,उपाध्यक्ष,शिवाकोटी,1
32,उपाध्यक्ष,तिम्सिना,1
33,उपाध्यक्ष,ढकाल,1
34,उपाध्यक्ष,साउद,2
35,उपाध्यक्ष,(याम्फु),1
36,उपाध्यक्ष,शाह,1
37,उपाध्यक्ष,घिताल,2
38,उपाध्यक्ष,थापा,12
39,उपाध्यक्ष,सिह,2
40,उपाध्यक्ष,तरामु,1
41,उपाध्यक्ष,कठरिया,1
42,उपाध्यक्ष,कोहार,1
43,उपाध्यक्ष,गच्छदार,1
44,उपाध्यक्ष,घर्तीमगर,1
45,उपाध्यक्ष,मंडल(खत्वे),1
46,उपाध्यक्ष,लिम्वू,1
47,उपाध्यक्ष,कुलुङ,1
48,उपाध्यक्ष,शाही(शेरचन),1
49,उपाध्यक्ष,ढुंगाना,1
50,उपाध्यक्ष,रावत,1
51,उपाध्यक्ष,(वस्नेत),1
52,उपाध्यक्ष,नेपाली,1
53,उपाध्यक्ष,गुरुङग,1
54,उपाध्यक्ष,(पुजारा),1
55,उपाध्यक्ष,बोहरा(रोकाया),1
56,उपाध्यक्ष,ठगुन्ना,3
57,उपाध्यक्ष,अवस्थी,1
58,उपाध्यक्ष,आचार्य,4
59,उपाध्यक्ष,श्रेष्‍ठ(नेवार),1
60,उपाध्यक्ष,शेर्पा(लामा),1
61,उपाध्यक्ष,(चिदी),1
62,उपाध्यक्ष,चौरसिया,1
63,उपाध्यक्ष,रोकाया,2
64,उपाध्यक्ष,वन,1
65,उपाध्यक्ष,जि.सी.,1
66,उपाध्यक्ष,भट्ट,1
67,उपाध्यक्ष,सुनुवार,2
68,उपाध्यक्ष,रावल,2
69,उपाध्यक्ष,सरदार,2
70,उपाध्यक्ष,बोलखे,1
71,उपाध्यक्ष,घले,1
72,उपाध्यक्ष,गूरुङ्ग,1
73,उपाध्यक्ष,बोहोरा,1
74,उपाध्यक्ष,उपाध्यया,1
75,उपाध्यक्ष,"खनाल,अर्याल",1
76,उपाध्यक्ष,लामिछाने,2
77,उपाध्यक्ष,योङहाङ,1
78,उपाध्यक्ष,गजमेर,1
79,उपाध्यक्ष,शर्मा,3
80,उपाध्यक्ष,(लामा),1
81,उपाध्यक्ष,/भण्डारी,1
82,उपाध्यक्ष,यादव,18
83,उपाध्यक्ष,वोहरा,1
84,उपाध्यक्ष,थारु,2
85,उपाध्यक्ष,मंडल,3
86,उपाध्यक्ष,(पौडेल),1
87,उपाध्यक्ष,बनिया,1
88,उपाध्यक्ष,बुढामगर,3
89,उपाध्यक्ष,बम,1
90,उपाध्यक्ष,भण्डारी,3
91,उपाध्यक्ष,प्रङदेन,1
92,उपाध्यक्ष,महत,1
93,उपाध्यक्ष,जैसी,1
94,उपाध्यक्ष,पाण्डेय,1
95,उपाध्यक्ष,खरेल,1
96,उपाध्यक्ष,राय,4
97,उपाध्यक्ष,महरा,1
98,उपाध्यक्ष,थिङ,2
99,उपाध्यक्ष,पराजुली,2
100,उपाध्यक्ष,विटालु,1
