S.No,Post,Caste,Count
1,अध्यक्ष,वराल(गौतम),1
2,अध्यक्ष,महतो,1
3,अध्यक्ष,श्रेष्ठ,7
4,अध्यक्ष,पाण्‍डे,1
5,अध्यक्ष,राजवंशी,1
6,अध्यक्ष,पाइजा,1
7,अध्यक्ष,के.सी.,5
8,अध्यक्ष,राई(नाछिरीङ),1
9,अध्यक्ष,पन्त,1
10,अध्यक्ष,घर्ती,2
11,अध्यक्ष,सिंतान,1
12,अध्यक्ष,तिमल्सिना,1
13,अध्यक्ष,गुरुङ्ग,4
14,अध्यक्ष,जी.सी,1
15,अध्यक्ष,राय,2
16,अध्यक्ष,बास्तोला,2
17,अध्यक्ष,(नाछिरीङ),1
18,अध्यक्ष,ढकाल,1
19,अध्यक्ष,धामी,7
20,अध्यक्ष,घले,5
21,अध्यक्ष,आले,1
22,अध्यक्ष,यादव,24
23,अध्यक्ष,याखा,1
24,अध्यक्ष,थारु,6
25,अध्यक्ष,गडसीला,1
26,अध्यक्ष,साउद,1
27,अध्यक्ष,शाक्य,1
28,अध्यक्ष,भण्डारी,3
29,अध्यक्ष,लिम्बू,2
30,अध्यक्ष,पाण्डे,2
31,अध्यक्ष,निरौला,2
32,अध्यक्ष,पौडेल,7
33,अध्यक्ष,शेर्पा,3
34,अध्यक्ष,अर्याल,1
35,अध्यक्ष,वस्ताकोटी,1
36,अध्यक्ष,जि.सी.,2
37,अध्यक्ष,तिमल्‍सेना,1
38,अध्यक्ष,थापा,16
39,अध्यक्ष,लोप्चन,1
40,अध्यक्ष,कठायत,1
41,अध्यक्ष,बुढाथोकी,1
42,अध्यक्ष,बस्‍नेत,1
43,अध्यक्ष,ओझा,2
44,अध्यक्ष,बोहरा,4
45,अध्यक्ष,के.सी,2
46,अध्यक्ष,शाही,12
47,अध्यक्ष,आलम,1
48,अध्यक्ष,पाण्डेय,2
49,अध्यक्ष,घर्ति,1
50,अध्यक्ष,सुनुवार,2
51,अध्यक्ष,खनाल,1
52,अध्यक्ष,सुवेदी,2
53,अध्यक्ष,अहिर,1
54,अध्यक्ष,महत्तो,1
55,अध्यक्ष,केसी,1
