S.No,Post,Caste,Count
1,वडा अध्यक्ष,बासुकला,1
2,वडा अध्यक्ष,दनुवार,9
3,वडा अध्यक्ष,गमाल,1
4,वडा अध्यक्ष,स्‍याङतान,3
5,वडा अध्यक्ष,योगी,3
6,वडा अध्यक्ष,गुरुङग,3
7,वडा अध्यक्ष,नदाफ,2
8,वडा अध्यक्ष,मैनाली,3
9,वडा अध्यक्ष,ठकुराइ,1
10,वडा अध्यक्ष,ब्लोन,1
11,वडा अध्यक्ष,छत्याल,1
12,वडा अध्यक्ष,वाकावल,1
13,वडा अध्यक्ष,वाइबा,3
14,वडा अध्यक्ष,विडारी,1
15,वडा अध्यक्ष,चलाउने,6
16,वडा अध्यक्ष,सिंह(क्षेत्री),1
17,वडा अध्यक्ष,पौड्याल,3
18,वडा अध्यक्ष,सुनार,18
19,वडा अध्यक्ष,मुराउ,2
20,वडा अध्यक्ष,जाग्री,2
21,वडा अध्यक्ष,कर्ण,2
22,वडा अध्यक्ष,राना,50
23,वडा अध्यक्ष,प्रजापति,1
24,वडा अध्यक्ष,रुम्‍वा,1
25,वडा अध्यक्ष,पुर्जा,2
26,वडा अध्यक्ष,बराकोटी,1
27,वडा अध्यक्ष,इसर,1
28,वडा अध्यक्ष,रेश्‍मी,1
29,वडा अध्यक्ष,वि.सी.,4
30,वडा अध्यक्ष,शेख,2
31,वडा अध्यक्ष,(सुडी),1
32,वडा अध्यक्ष,कुशियैत,1
33,वडा अध्यक्ष,कथवनिया,1
34,वडा अध्यक्ष,स्‍वर्णकार,2
35,वडा अध्यक्ष,भुजेल,8
36,वडा अध्यक्ष,कठाएत,1
37,वडा अध्यक्ष,नेयोङ,1
38,वडा अध्यक्ष,जैसी,21
39,वडा अध्यक्ष,चँदारा,1
40,वडा अध्यक्ष,लिम्बु,41
41,वडा अध्यक्ष,जेठारा,1
42,वडा अध्यक्ष,बस्ताकोटी,2
43,वडा अध्यक्ष,एम.,2
44,वडा अध्यक्ष,.सी,1
45,वडा अध्यक्ष,पार्की,1
46,वडा अध्यक्ष,कवां,1
47,वडा अध्यक्ष,तिम्‍सीना,1
48,वडा अध्यक्ष,दहाल,4
49,वडा अध्यक्ष,रेजा,1
50,वडा अध्यक्ष,सोती,2
51,वडा अध्यक्ष,"शर्मा,पौडेल",1
52,वडा अध्यक्ष,निर्मोही,1
53,वडा अध्यक्ष,कामती,5
54,वडा अध्यक्ष,वजगांइ,1
55,वडा अध्यक्ष,तिमल्‍सिना,1
56,वडा अध्यक्ष,आग्री,2
57,वडा अध्यक्ष,लम्तरी,1
58,वडा अध्यक्ष,लोध,1
59,वडा अध्यक्ष,दर्जी,2
60,वडा अध्यक्ष,डडाल,3
61,वडा अध्यक्ष,हरिजन,1
62,वडा अध्यक्ष,थारु,99
63,वडा अध्यक्ष,रिजेल,1
64,वडा अध्यक्ष,बलामी),1
65,वडा अध्यक्ष,वस्नेत,10
66,वडा अध्यक्ष,दरै,2
67,वडा अध्यक्ष,(पाध्य),1
68,वडा अध्यक्ष,वली,29
69,वडा अध्यक्ष,तेली,25
70,वडा अध्यक्ष,देवकोटा,10
71,वडा अध्यक्ष,अब्वास,1
72,वडा अध्यक्ष,याखा,1
73,वडा अध्यक्ष,चुँदाली,1
74,वडा अध्यक्ष,म‌ङगोला,1
75,वडा अध्यक्ष,हजाम,2
76,वडा अध्यक्ष,म‌ंडल,1
77,वडा अध्यक्ष,गोरा,1
78,वडा अध्यक्ष,गनगाई,2
79,वडा अध्यक्ष,कुश्‍वार,1
80,वडा अध्यक्ष,हितान,1
81,वडा अध्यक्ष,थकाली,5
82,वडा अध्यक्ष,खरविन्द,1
83,वडा अध्यक्ष,सारु,5
84,वडा अध्यक्ष,पराजुली,14
85,वडा अध्यक्ष,नाछिरिङ,1
86,वडा अध्यक्ष,उप्रेती,11
87,वडा अध्यक्ष,ध्वजु,1
88,वडा अध्यक्ष,खाँ,14
89,वडा अध्यक्ष,पन्त,5
90,वडा अध्यक्ष,समीउल्लाह,1
91,वडा अध्यक्ष,भट्ट,28
92,वडा अध्यक्ष,लिंखा,1
93,वडा अध्यक्ष,कडायत,1
94,वडा अध्यक्ष,नेवार,2
95,वडा अध्यक्ष,राम्जाली,1
96,वडा अध्यक्ष,खडायत,4
97,वडा अध्यक्ष,विन,1
98,वडा अध्यक्ष,नापित,1
99,वडा अध्यक्ष,चन्द,25
100,वडा अध्यक्ष,कडरिया,1
101,वडा अध्यक्ष,अमिरुल्लाह,1
102,वडा अध्यक्ष,राई,183
103,वडा अध्यक्ष,,23
104,वडा अध्यक्ष,रानाभाट,4
105,वडा अध्यक्ष,शेरभुजा,1
106,वडा अध्यक्ष,शिगु,1
107,वडा अध्यक्ष,मेचे,2
108,वडा अध्यक्ष,देवान,4
109,वडा अध्यक्ष,झागड,1
110,वडा अध्यक्ष,वोहरा,11
111,वडा अध्यक्ष,बरही,1
112,वडा अध्यक्ष,लामीछाने,3
113,वडा अध्यक्ष,बडुवाल,2
114,वडा अध्यक्ष,ठकुराठी,1
115,वडा अध्यक्ष,साहु,1
116,वडा अध्यक्ष,अलियास,1
117,वडा अध्यक्ष,खपाङ्गी,2
118,वडा अध्यक्ष,रौनियार,1
119,वडा अध्यक्ष,डल्लाकोटी,1
120,वडा अध्यक्ष,निरौला,5
121,वडा अध्यक्ष,सिंह,37
122,वडा अध्यक्ष,(मगर),2
123,वडा अध्यक्ष,फागो,2
124,वडा अध्यक्ष,(आठपहरिया),1
125,वडा अध्यक्ष,झाँक्री,1
126,वडा अध्यक्ष,विष्ट,32
127,वडा अध्यक्ष,डगौरा,3
128,वडा अध्यक्ष,पाख्रीन,2
129,वडा अध्यक्ष,वास्तोला,1
130,वडा अध्यक्ष,ताजपुरिया,1
131,वडा अध्यक्ष,अयडी,1
132,वडा अध्यक्ष,कुवंर,3
133,वडा अध्यक्ष,के.सी,17
134,वडा अध्यक्ष,मोक्तान,5
135,वडा अध्यक्ष,गुरुड्ग,1
136,वडा अध्यक्ष,पल्ली,2
137,वडा अध्यक्ष,पुडासैनी,5
138,वडा अध्यक्ष,इवारम,1
139,वडा अध्यक्ष,राजभण्डारी,2
140,वडा अध्यक्ष,सेठी,1
141,वडा अध्यक्ष,(तेली),1
142,वडा अध्यक्ष,देवी,3
143,वडा अध्यक्ष,थपलीया,1
144,वडा अध्यक्ष,कन्‍दङवा,1
145,वडा अध्यक्ष,तुम्सा,1
146,वडा अध्यक्ष,राया,1
147,वडा अध्यक्ष,रेगामी,1
148,वडा अध्यक्ष,रास्‍कोटी,1
149,वडा अध्यक्ष,गोइत,4
150,वडा अध्यक्ष,खडगा,1
151,वडा अध्यक्ष,शिवभक्ति,1
152,वडा अध्यक्ष,बैध,1
153,वडा अध्यक्ष,फर्साल,1
154,वडा अध्यक्ष,क.,1
155,वडा अध्यक्ष,कँडेल,1
156,वडा अध्यक्ष,ताम्राकार,1
157,वडा अध्यक्ष,वलाल,1
158,वडा अध्यक्ष,तीवारी,1
159,वडा अध्यक्ष,बिष्ट,13
160,वडा अध्यक्ष,कपडी,1
161,वडा अध्यक्ष,विश्‍वकर्मा,5
162,वडा अध्यक्ष,वि.क.,7
163,वडा अध्यक्ष,बिष्‍ट,5
164,वडा अध्यक्ष,खासु,1
165,वडा अध्यक्ष,खोयाहाङ(लिम्बू),1
166,वडा अध्यक्ष,साउद,18
167,वडा अध्यक्ष,मिधुन,1
168,वडा अध्यक्ष,थेवे,1
169,वडा अध्यक्ष,रायमाझी,2
170,वडा अध्यक्ष,सुतार,1
171,वडा अध्यक्ष,खत्वे,1
172,वडा अध्यक्ष,सिं‌ह,1
173,वडा अध्यक्ष,धौराली,1
174,वडा अध्यक्ष,दमाई,4
175,वडा अध्यक्ष,पन्‍त,1
176,वडा अध्यक्ष,लिङदेन,2
177,वडा अध्यक्ष,आङदेम्बे,3
178,वडा अध्यक्ष,सहनी,9
179,वडा अध्यक्ष,सुन्दर,1
180,वडा अध्यक्ष,नसरुल्लाह,1
181,वडा अध्यक्ष,पटेल,4
182,वडा अध्यक्ष,ठकुरी,10
183,वडा अध्यक्ष,रन्जित,1
184,वडा अध्यक्ष,रन्जीतकार,1
185,वडा अध्यक्ष,घोरासैनी,1
186,वडा अध्यक्ष,ऐडी,3
187,वडा अध्यक्ष,सिम्खाडा,2
188,वडा अध्यक्ष,लिङ्गदेन,1
189,वडा अध्यक्ष,बलम्पाकी,1
190,वडा अध्यक्ष,बुढाथोकी,29
191,वडा अध्यक्ष,कोटकेनी,1
192,वडा अध्यक्ष,बडाल,1
193,वडा अध्यक्ष,श्रीवास्तव,1
194,वडा अध्यक्ष,दमाइ,1
195,वडा अध्यक्ष,पुनमगर,5
196,वडा अध्यक्ष,महता,1
197,वडा अध्यक्ष,बोगटी,9
198,वडा अध्यक्ष,लाम्‍टांगे,1
199,वडा अध्यक्ष,मौर्य,2
200,वडा अध्यक्ष,धामि,1
201,वडा अध्यक्ष,तमांग,1
202,वडा अध्यक्ष,भुर्तेल,1
203,वडा अध्यक्ष,(कोयी),1
204,वडा अध्यक्ष,नाउ,1
205,वडा अध्यक्ष,ढोली,1
206,वडा अध्यक्ष,मँडल,1
207,वडा अध्यक्ष,घर्तीमगर,9
208,वडा अध्यक्ष,खड्‍गी,1
209,वडा अध्यक्ष,खाँण,1
210,वडा अध्यक्ष,तिरुवा,1
211,वडा अध्यक्ष,रास्कोटी,3
212,वडा अध्यक्ष,योङ्हाङ्,1
213,वडा अध्यक्ष,वलायर,1
214,वडा अध्यक्ष,प्रसाई,2
215,वडा अध्यक्ष,थेबे,1
216,वडा अध्यक्ष,तुम्‍वापो,1
217,वडा अध्यक्ष,सुवाल,2
218,वडा अध्यक्ष,सिद्धिक,1
219,वडा अध्यक्ष,महर,3
220,वडा अध्यक्ष,पुन,45
221,वडा अध्यक्ष,काप्री,1
222,वडा अध्यक्ष,वोगटी,1
223,वडा अध्यक्ष,सि,1
224,वडा अध्यक्ष,कुशवाहा,9
225,वडा अध्यक्ष,रहमान,1
226,वडा अध्यक्ष,(तामाङ),3
227,वडा अध्यक्ष,बाँनिया,3
228,वडा अध्यक्ष,तिम्सिना,3
229,वडा अध्यक्ष,पाख्रिन,6
230,वडा अध्यक्ष,सेख,1
231,वडा अध्यक्ष,सिरिस,1
232,वडा अध्यक्ष,डाँगा,1
233,वडा अध्यक्ष,गु्प्‍ता,1
234,वडा अध्यक्ष,चक्रधर,1
235,वडा अध्यक्ष,ज्ञावाली,1
236,वडा अध्यक्ष,ठगुन्ना,4
237,वडा अध्यक्ष,जलिल,1
238,वडा अध्यक्ष,प्रुसाद,1
239,वडा अध्यक्ष,आङदेम्वे,1
240,वडा अध्यक्ष,ध्यार,1
241,वडा अध्यक्ष,भारती,5
