S.No,Post,Caste,Count
1,प्रमुख,सिंह,4
2,प्रमुख,खत्री,3
3,प्रमुख,ढकाल,2
4,प्रमुख,जी.सी,1
5,प्रमुख,प्याकुरेल,1
6,प्रमुख,हक,1
7,प्रमुख,गोइत,1
8,प्रमुख,महतो,3
9,प्रमुख,शेर्पा,2
10,प्रमुख,पोख्रेल,1
11,प्रमुख,साउद,1
12,प्रमुख,(बस्याल),1
13,प्रमुख,थापा,11
14,प्रमुख,सेजुवाल,1
15,प्रमुख,मंसुर,1
16,प्रमुख,पाण्डे,3
17,प्रमुख,तामाङ्ग,1
18,प्रमुख,कक्षपती,1
19,प्रमुख,खडका,1
20,प्रमुख,सुनार,2
21,प्रमुख,सापकोटा,1
22,प्रमुख,भट्ट,1
23,प्रमुख,वकिल,1
24,प्रमुख,खनाल,4
25,प्रमुख,शाक्‍य,1
26,प्रमुख,अर्याल,2
27,प्रमुख,बराल,2
28,प्रमुख,उपाध्याय,1
29,प्रमुख,राई,9
30,प्रमुख,कुवर,1
31,प्रमुख,गुप्‍ता,2
32,प्रमुख,मगर,2
33,प्रमुख,सुडी,1
34,प्रमुख,प्रसाई,1
35,प्रमुख,बडुवाल,1
36,प्रमुख,ढुङ्गाना,1
37,प्रमुख,चालिसे,1
38,प्रमुख,श्रेष्ठ,9
39,प्रमुख,गच्छदार,1
40,प्रमुख,मण्‍डल,2
41,प्रमुख,राउत,1
42,प्रमुख,गौली,1
43,प्रमुख,पौडेल,4
44,प्रमुख,महतारा,1
45,प्रमुख,जिमी,1
46,प्रमुख,मलासी,1
47,प्रमुख,धामी,1
48,प्रमुख,सिह,1
49,प्रमुख,पण्डित,1
50,प्रमुख,रौनियार,1
51,प्रमुख,गौतम,1
52,प्रमुख,राय,1
53,प्रमुख,पन्त,1
54,प्रमुख,रावल,3
55,प्रमुख,खड्का,2
56,प्रमुख,नायेक,1
57,प्रमुख,बन,1
58,प्रमुख,भुसाल,2
59,प्रमुख,राणा,1
60,प्रमुख,हमाल,1
61,प्रमुख,खाँण,1
62,प्रमुख,नेपाल,1
63,प्रमुख,पराजुली,1
64,प्रमुख,आचार्य,2
65,प्रमुख,शिवाकोटी,1
66,प्रमुख,घिमिरे,1
67,प्रमुख,शाही,5
68,प्रमुख,पजियार,1
69,प्रमुख,बस्नेत,4
70,प्रमुख,देउवा,1
71,प्रमुख,प्रजापति,1
72,प्रमुख,देबकोटा,2
73,प्रमुख,साँउद,1
74,प्रमुख,कुमार,1
75,प्रमुख,मंण्‍डल,1
76,प्रमुख,मेहता,2
77,प्रमुख,दाहाल,1
78,प्रमुख,चन्द,3
79,प्रमुख,रिजाल,1
80,प्रमुख,साह,8
81,प्रमुख,मण्डल,1
82,प्रमुख,कुशवाहा,1
83,प्रमुख,श्रेष्‍ठ,4
84,प्रमुख,शर्मा,5
85,प्रमुख,चौधरी,15
86,प्रमुख,अग्रवाल,1
87,प्रमुख,दास,1
88,प्रमुख,महर्जन,3
89,प्रमुख,पोखरेल,1
90,प्रमुख,कार्की,2
91,प्रमुख,ओझा,1
92,प्रमुख,ऐर,1
93,प्रमुख,पासमान,1
94,प्रमुख,अख्तर,1
95,प्रमुख,न्यौपाने,2
96,प्रमुख,महत,1
97,प्रमुख,राना,1
98,प्रमुख,जिरेल,1
99,प्रमुख,वुढाथोकी,1
100,प्रमुख,तेली,1
101,प्रमुख,पुन,3
102,प्रमुख,तुम्वाहाङफे,1
103,प्रमुख,फागु,1
104,प्रमुख,यादव,25
105,प्रमुख,कुवँर,1
106,प्रमुख,कँडेल,1
107,प्रमुख,बुढा,1
108,प्रमुख,भण्डारी,2
109,प्रमुख,आले,1
110,प्रमुख,सुब्बा,1
111,प्रमुख,अधिकारी,7
112,प्रमुख,क्षेत्री,5
113,प्रमुख,मावोहाङ,1
114,प्रमुख,गिरी,3
115,प्रमुख,जोशी,2
116,प्रमुख,खतिवडा,1
117,प्रमुख,बजगाई,1
118,प्रमुख,विष्ट,3
119,प्रमुख,तामाङ,2
120,प्रमुख,नेम्बाङ्ग,1
121,प्रमुख,थेबे,1
122,प्रमुख,लिंथेप,1
123,प्रमुख,थारु,2
124,प्रमुख,वड,1
125,प्रमुख,के.सी.,2
126,प्रमुख,शाह,3
127,प्रमुख,के‍.सी.,1
128,प्रमुख,रावत,1
129,प्रमुख,सरावगी,1
130,प्रमुख,खरेल,2
131,प्रमुख,नेपाली,1
132,प्रमुख,मुसलमान,1
133,प्रमुख,तत्मा,1
134,प्रमुख,पटेल,1
135,प्रमुख,बोहरा,2
136,प्रमुख,गुरुङ्ग,1
137,प्रमुख,घर्ती,1
138,प्रमुख,ओली,1
139,प्रमुख,सेर्मा,1
140,प्रमुख,बिष्‍ट,1
141,प्रमुख,मिश्र,3
142,प्रमुख,मंडल,1
143,प्रमुख,सुवेदी,3
