S.No,Post,Caste,Count
248,all,बलायर,6
249,all,मैनाली,17
250,all,पुर्कुटी,3
251,all,कक्षपति,2
252,all,रोकया,1
253,all,वि.सी,2
254,all,राजभर,2
255,all,सुनी,1
256,all,(तेलि),1
257,all,ठाडामगर,1
258,all,चनार,1
259,all,थिङ्ग,16
260,all,दर्जि,18
261,all,थपलिया,15
262,all,पराजुली,61
263,all,उप्रती(बर्तोला),1
264,all,राई(कुलुङ),6
265,all,जैसवार,5
266,all,मुत्तान,1
267,all,ओड-ल्वार,1
268,all,बराम,6
269,all,नेम्वाङ,1
270,all,पर्वते,1
271,all,इम्ताज,1
272,all,बोगटी,39
273,all,सिदाली,1
274,all,मगैया,1
275,all,कापरी,1
276,all,अंसारिन,1
277,all,रिसाल,3
278,all,जर्गा,1
279,all,मर्साङी,1
280,all,ताम्लिङ,1
281,all,सुरेन,1
282,all,अग्रहरी,4
283,all,खलिल,1
284,all,सरफुदिन,1
285,all,वसेल,4
286,all,(दर्जी),2
287,all,स्याङ्तान,4
288,all,नेयोङ,1
289,all,वेश्रा,1
290,all,सोरेन,1
291,all,कठायत,37
292,all,चाम्लिङ,3
293,all,वतरनी,1
294,all,हेन्‍जन,2
295,all,शिवभक्ति,1
296,all,हितान,2
297,all,थाम्सुहाङ,3
298,all,सुब्‍बा,1
299,all,तत्‍मीन,1
300,all,छहरी,1
301,all,कोरी,18
302,all,दर्जी,175
303,all,योञ्जन,6
304,all,नगरकोटी,15
305,all,घर्ती,106
306,all,चालीसे,1
307,all,पोदार,1
308,all,मालिक,1
309,all,नुनियाइन,1
310,all,रमौली,1
311,all,वस्ताकोटी,1
312,all,वर्मा,6
313,all,अहिरीन,5
314,all,खां,3
315,all,पान्‍डेय,1
316,all,जैसी,84
317,all,खोरजा,1
318,all,एक्तेन,2
319,all,बर्मे,1
320,all,सिद्धिक,1
321,all,तुजार,1
322,all,योगी,17
323,all,अच्छामी,1
324,all,बाँतर,3
325,all,रेगामी,2
326,all,सिग्देल/न्यौपाने,1
327,all,गोयला,1
328,all,"नेपाली,(सर्कीनी)",1
329,all,वपाल,1
330,all,खत्री,330
331,all,जोगी,7
332,all,मिझार,2
333,all,(दमाई),4
334,all,घ.क्षे.,2
335,all,गरुङ,1
336,all,जी.सी.,3
337,all,फैंजु,1
338,all,पाध्या,11
339,all,साउद,68
340,all,पाँचकोटी,2
341,all,(माझी),1
342,all,पूलामी,1
343,all,मुल्मी,1
344,all,नैनावस्ती,1
345,all,पौडयाल(भट्टराई),1
346,all,गन्गाई,2
347,all,वैश्य,1
348,all,दमिनी,12
349,all,वैद्य,2
350,all,पार्थिव,1
351,all,सहिद,1
352,all,भुलन,1
353,all,बुढा(बिष्ट),1
354,all,पण्डित,12
355,all,डिम्डुङ,1
356,all,भगत,10
357,all,उराव,5
358,all,खटिक,6
359,all,वर्णवाल,1
360,all,अछामी,6
361,all,चेम्जोङ्ग,3
362,all,पँचकोटी,1
363,all,सिद्‍दकी,1
364,all,केशरि,1
365,all,कामी,603
366,all,देसार,1
367,all,मल्‍ल,6
368,all,छन्त्‍याल,2
369,all,श्रीश,1
370,all,घर्ती/क्षेत्री,1
371,all,दाहाल/अर्याल,1
372,all,हुमागाई,9
373,all,बलंमपाखी,1
374,all,लुईचे,1
375,all,ढुगाना,1
376,all,पाध्‍या,1
377,all,पाण्डै,1
378,all,जमरकटेल,1
379,all,राम,67
380,all,कामिनी,1
381,all,भेटुवाल,1
382,all,संजेल,1
383,all,शाहसंकर,1
384,all,बसकोड,1
385,all,चधौरी,1
386,all,तमाङनी,2
387,all,हिराचन,4
388,all,स‌‌ंज्याल,1
389,all,"सुर्य,मगर",1
390,all,मुग्रती,1
391,all,कहारीन,1
392,all,कवारी,18
393,all,सुसलिङ्ग,1
394,all,दास,95
395,all,म‌ङगोला,1
396,all,लो,8
397,all,नकर्मी,2
398,all,(के.सी.),2
399,all,(याख्खा),1
400,all,गन्धर्व,4
401,all,राना(कुमाम),1
402,all,लमसाल,1
403,all,मंसुरी,17
404,all,वाकावल,1
405,all,साउँद,49
406,all,मल्लिक,1
407,all,अथित,1
408,all,सेटी,1
409,all,नहर्कि,1
410,all,वयालकोटी,1
411,all,बसौला,1
412,all,कण्डेल,2
413,all,वनेवार,1
414,all,बडू,4
415,all,दाहाल,93
416,all,वाइवा,9
417,all,बिष्‍ट,19
418,all,बैजी,1
419,all,लुहागुन,2
420,all,साई,8
421,all,शाहि,5
422,all,बिश्वकर्मानेपाली,1
423,all,बनौधीया,1
424,all,वोहरा(बुढाथोकी,1
425,all,(चन्द),1
426,all,खत्रि,6
427,all,खतिवाडा,1
428,all,घिताल,2
429,all,ठुसाजु,1
430,all,गरुङ्गे,1
431,all,उरावँ,2
432,all,(स्वोती),1
433,all,दुलारी,1
434,all,देउरुखी,1
435,all,सहनी,54
436,all,चर्मकार,5
437,all,तामाड,3
438,all,बढाथोकी,2
439,all,सिजापती,4
440,all,पल्ली,5
441,all,कहांर,1
442,all,बनेपाली,1
443,all,खड्‌का,3
444,all,(तामाङ),4
445,all,लुंगेली,1
446,all,वयलकोटी,1
447,all,रौनीयार,1
448,all,झाग‌्ड,1
449,all,हमाल,37
450,all,बाला,1
451,all,सुजी,1
452,all,कालिकोटे,1
453,all,जाग्री,9
454,all,तिमल्‍सेना,1
455,all,शेरचन्,1
456,all,रास्‍कोटी,1
457,all,जिवराइल,1
458,all,ढाट,1
459,all,"राय,अमात",1
460,all,असारी,1
461,all,भुषाल,12
462,all,खाण,2
463,all,भालु,1
464,all,कमर,2
465,all,ओझा(गिरी),1
466,all,सेखीन,1
467,all,मरिक,1
468,all,मुस्लीम,1
469,all,विश्वकर्मा,261
470,all,परीयार,19
471,all,विश्‍वकर्म,1
472,all,नाई,1
473,all,जवाहिर,1
474,all,पाण्डे,106
475,all,बाँस्तोला,5
476,all,वम,6
477,all,तोलाङ,1
478,all,पान्डेय,1
479,all,कवारि,1
480,all,(कुम्हार),1
481,all,महम्मद,2
482,all,बोम्‍जन,1
483,all,विष्ट्,1
484,all,कहार,9
485,all,कोईरी,8
486,all,कुमारी,53
487,all,रौनियार,6
488,all,भेडीहार,1
489,all,",अमात",1
490,all,वाग्ले,17
491,all,बराकोटी,1
492,all,लामा/तामाङ,1
493,all,धर्ति,1
494,all,शेर्पेनी,1
495,all,महता,6
496,all,कुश्‍वार,6
497,all,के.,1
498,all,साउंद,3
499,all,खाईजु(लाखे),1
500,all,घुङ्गवा,1
501,all,ठकुल्ला,12
502,all,टमटो,4
503,all,वनेम,1
504,all,श्रेत्री,1
505,all,गोदार,8
506,all,माक,1
507,all,(खत्री),6
508,all,सुनवार,1
509,all,सिंगौरे,1
510,all,रिषिदेव,16
511,all,छिदाल,1
512,all,राजचल,1
513,all,चमार्नी,2
514,all,बाग,1
515,all,सुन्दास,8
516,all,खकुरेल,1
517,all,ढली,1
518,all,सुर्यवंशी,2
519,all,जि.आर.,1
520,all,धामी(साउद),1
521,all,कुंवर,10
522,all,पंगेनी,9
523,all,आर.सी.,2
524,all,पकुवाल,1
525,all,डाँगा,1
526,all,कछडीया,1
527,all,वड,6
528,all,भांट,1
529,all,बस्न्यात,1
530,all,(भण्‍डारी),2
531,all,गीरी,2
532,all,माझि,4
533,all,आङ्देम्बे,2
534,all,‍.क,1
535,all,कुम्‍हैन,1
536,all,संज्‍याल,1
537,all,धामि,1
538,all,चयडा,1
539,all,धौजु,1
540,all,पौड्याल,12
541,all,(राना),4
542,all,खाँ,36
543,all,कलावर,1
544,all,गोढ,1
545,all,रेग्मी,57
546,all,पौडल,1
547,all,कुरुम्वाङ्ग,1
548,all,विश्‍वर्मा,1
549,all,छिरीङ,1
550,all,विसुन्‍के,1
551,all,थनेत,8
552,all,पंगेनि,1
553,all,बलाल,4
554,all,चनारा,3
555,all,लीम्बु,1
556,all,(पाध्यवती),1
557,all,रैदास,11
558,all,(धानुक),1
559,all,गंडेरी,1
560,all,डोम,2
561,all,चोखाल,2
562,all,चँदारा,3
563,all,रावत्,1
564,all,ताजपुरिया,6
565,all,लालबाबु,1
566,all,चौंलागाई,1
567,all,कवां,1
568,all,(पराजुली),2
569,all,सोती,5
570,all,उपाध्याया,1
571,all,सेर्मा,4
572,all,कोटा,1
573,all,अवस्‍थी,1
574,all,मगराती,3
575,all,भट्टचन,1
576,all,बराली,2
577,all,तुम्‍वापो,1
578,all,लुइँटेल,1
579,all,रेग्मी/डाँगी,1
580,all,दुसाध,6
581,all,जयसवाल,7
582,all,ढोडारी,1
583,all,नेकोर,1
584,all,फडेरा,6
585,all,रन्‍जितकार,1
586,all,कार्कि,9
587,all,श्‍वर्णकार,1
588,all,(शेर्पा),1
589,all,फकामी,1
590,all,कर्माकार,1
591,all,हाथी,1
592,all,बाटा,1
593,all,मुस्यान,1
594,all,शिबभक्‍त्ती,1
595,all,बस्ताकोटी,2
596,all,धिकी,1
597,all,(बिष्ट),1
598,all,हेन्जन,1
599,all,तत्‍वा,1
600,all,बरै,8
601,all,खायमली,1
602,all,(सिग्देल),1
603,all,झाक्री,2
604,all,जिमी,8
605,all,सार्कि(पाहाडि),1
606,all,पाण्डे(गौली),1
607,all,वौडेल,1
608,all,क.,21
609,all,तिम्सिना,11
610,all,लंगुर,1
611,all,गेलाल,4
612,all,आर्चाय,2
613,all,घर्तिमगर,9
614,all,थापा/क्षेत्री,1
615,all,यदुवीर,1
616,all,कुसवार,1
617,all,रुम्‍बा,3
618,all,लाम्गादे,2
619,all,फियाक,3
620,all,रवत,1
621,all,अएडी,1
622,all,बिन,6
623,all,अली,8
624,all,रम्‍तेल,3
625,all,खोजु,1
626,all,सोनार(वि.क.),1
627,all,सापकवटा,1
628,all,शेरपुजा,1
629,all,चुनारा,13
630,all,धौलाकोटी,1
631,all,खतवीनी,1
632,all,प्रजापति,5
633,all,गौडेल,4
634,all,(बस्नेत),1
635,all,कैडारा,1
636,all,सुडी,24
637,all,नेउपाने,1
638,all,घतानी,12
639,all,वानिँया,1
640,all,रजाली,2
641,all,(विष्ट),1
642,all,"आले,मगर",1
643,all,संगत,1
644,all,सावादेन,1
645,all,श्रीवास्तवा,1
646,all,सहानी,1
647,all,नदाफ,9
648,all,उमैर,1
649,all,(सुजी),1
650,all,खटीक,1
651,all,कर्माचार्य,10
652,all,श्रेष्ठ(कायस्थ),1
653,all,स्‍याङ्तान,2
654,all,कुंबर,1
655,all,घर्ति,31
656,all,तुलाचन,2
657,all,साफी,15
658,all,सिपालिया,1
659,all,(हलुवाई),1
660,all,मरर,3
661,all,थापा(मगर),1
662,all,चलाउने,20
663,all,वि.के.,3
664,all,सेन्दाङ,2
665,all,रजौरिया,1
666,all,पटवारी,1
667,all,वल,3
668,all,.,2
669,all,थेवे,5
670,all,लिङ्दम/लिम्बु,1
671,all,बाजी,1
672,all,लावड(लुहार),1
673,all,राई/सोङमेन,1
674,all,सुव्‍बा,1
675,all,"श्रेष्‍ठ,गुभाजु",1
676,all,(दोङ),1
