S.No,Post,Caste,Count
1,उपप्रमुख,अधिकारी,4
2,उपप्रमुख,डंगोल,1
3,उपप्रमुख,तेली,1
4,उपप्रमुख,दहित,1
5,उपप्रमुख,हमाल,1
6,उपप्रमुख,राना,3
7,उपप्रमुख,पौडेल(तिम्सिना),1
8,उपप्रमुख,बेल्वासे,1
9,उपप्रमुख,वेल्वासे,1
10,उपप्रमुख,-,2
11,उपप्रमुख,लामा,3
12,उपप्रमुख,रसाइली,1
13,उपप्रमुख,दनुवार,2
14,उपप्रमुख,भट्टराई,3
15,उपप्रमुख,बसेल,1
16,उपप्रमुख,मिश्र,1
17,उपप्रमुख,(बसी),1
18,उपप्रमुख,तामाङ,2
19,उपप्रमुख,मण्डल,1
20,उपप्रमुख,पुन,1
21,उपप्रमुख,चौधरी,16
22,उपप्रमुख,यादव,4
23,उपप्रमुख,केवट,1
24,उपप्रमुख,काफ्ले,1
25,उपप्रमुख,बुढा,1
26,उपप्रमुख,भुजेल,1
27,उपप्रमुख,कुमारी,3
28,उपप्रमुख,श्रीवास्तव,1
29,उपप्रमुख,ओझा,1
30,उपप्रमुख,कुर्मी,1
31,उपप्रमुख,गिरी,2
32,उपप्रमुख,कडायत,1
33,उपप्रमुख,बम,2
34,उपप्रमुख,वि.क,1
35,उपप्रमुख,घिमिरे,1
36,उपप्रमुख,उपाध्याय,1
37,उपप्रमुख,रावल,2
38,उपप्रमुख,सिंह,2
39,उपप्रमुख,सिपालिया,1
40,उपप्रमुख,माझी,1
41,उपप्रमुख,ढुङ्गाना,1
42,उपप्रमुख,महतो,2
43,उपप्रमुख,आरा,1
44,उपप्रमुख,चुडाल,1
45,उपप्रमुख,दाहाल,1
46,उपप्रमुख,प्रसाद,1
47,उपप्रमुख,मगर,3
48,उपप्रमुख,आचार्य,4
49,उपप्रमुख,वली,1
50,उपप्रमुख,छन्तेल,1
51,उपप्रमुख,पौडेल,3
52,उपप्रमुख,वस्नेत,1
53,उपप्रमुख,गुरुङ्ग,3
54,उपप्रमुख,(घर्ती),1
55,उपप्रमुख,सुवेदी,2
56,उपप्रमुख,),2
57,उपप्रमुख,पोखरेल,2
58,उपप्रमुख,जयसवाल,1
59,उपप्रमुख,मधिकर्मी,1
60,उपप्रमुख,यरी,1
61,उपप्रमुख,रोकाया,1
62,उपप्रमुख,महत,1
63,उपप्रमुख,नेपाली,2
64,उपप्रमुख,रोका,1
65,उपप्रमुख,बुढा(बिष्ट),1
66,उपप्रमुख,बुडथापा,1
67,उपप्रमुख,खड्का,3
68,उपप्रमुख,तिवारी,2
69,उपप्रमुख,प्रधान,1
70,उपप्रमुख,कोली,1
71,उपप्रमुख,पासमान,1
72,उपप्रमुख,बरुवाल,1
73,उपप्रमुख,राउत,1
74,उपप्रमुख,देवी,7
75,उपप्रमुख,शवनम,1
76,उपप्रमुख,रिजाल,1
77,उपप्रमुख,पराजुली,2
78,उपप्रमुख,खनाल,1
79,उपप्रमुख,बि.क,1
80,उपप्रमुख,पाठक,1
81,उपप्रमुख,खातून,1
82,उपप्रमुख,घर्तीमगर,1
83,उपप्रमुख,नेपाल,3
84,उपप्रमुख,,2
85,उपप्रमुख,(शर्मा),1
86,उपप्रमुख,कंडेल,1
87,उपप्रमुख,(श्रेष्ठ),1
88,उपप्रमुख,महतारा,1
89,उपप्रमुख,साव,1
90,उपप्रमुख,चलाउने,1
91,उपप्रमुख,कार्की,3
92,उपप्रमुख,खरेल,2
93,उपप्रमुख,जाग्री,1
94,उपप्रमुख,कुंवर,1
95,उपप्रमुख,‌(भट्ट),1
96,उपप्रमुख,सरदार,1
97,उपप्रमुख,खड्गी,1
98,उपप्रमुख,बन्जारा,1
99,उपप्रमुख,सिग्देल/न्यौपाने,1
100,उपप्रमुख,ओझा(गिरी),1
101,उपप्रमुख,कुशवाहा,2
102,उपप्रमुख,देबी,1
103,उपप्रमुख,दवाडी,1
104,उपप्रमुख,थारु,5
105,उपप्रमुख,सुनार(के.सी.),1
106,उपप्रमुख,खाती,1
107,उपप्रमुख,शाह,1
108,उपप्रमुख,कर्माचार्य,1
109,उपप्रमुख,गोपाली,1
110,उपप्रमुख,मुक्तान,2
111,उपप्रमुख,रेग्मी,3
112,उपप्रमुख,सुनार,1
113,उपप्रमुख,कापरी,1
114,उपप्रमुख,गुप्‍ता,1
115,उपप्रमुख,बस्‍नेत,1
116,उपप्रमुख,बास्तोला,1
117,उपप्रमुख,लामीछाने,1
118,उपप्रमुख,प्रसाई,1
119,उपप्रमुख,खराल,1
120,उपप्रमुख,नकर्मी,1
121,उपप्रमुख,ठकुरी,1
122,उपप्रमुख,खातुन,5
123,उपप्रमुख,डाँगी,1
124,उपप्रमुख,(बिष्‍ट),1
125,उपप्रमुख,नेम्‍वाङ्ग,1
126,उपप्रमुख,कानु,1
127,उपप्रमुख,थापा,8
128,उपप्रमुख,(बजगाइ),1
129,उपप्रमुख,झा,4
130,उपप्रमुख,भण्डारी,6
131,उपप्रमुख,राई,8
132,उपप्रमुख,बोहरा,3
133,उपप्रमुख,अर्याल,2
134,उपप्रमुख,चन्द,2
135,उपप्रमुख,दाहाल/अर्याल,1
136,उपप्रमुख,विष्ट,2
137,उपप्रमुख,(ऐर),1
138,उपप्रमुख,श्रेष्ठ,3
139,उपप्रमुख,पोख्रेल,2
140,उपप्रमुख,गुरुङ,1
141,उपप्रमुख,काउचा,1
142,उपप्रमुख,बस्नेत,3
143,उपप्रमुख,(दाहाल),1
144,उपप्रमुख,शाही,2
145,उपप्रमुख,तामाङ्ग,1
146,उपप्रमुख,रिमाल,1
147,उपप्रमुख,शेख,1
148,उपप्रमुख,थरुनी,1
149,उपप्रमुख,खत्री,1
150,उपप्रमुख,भेटवाल,1
151,उपप्रमुख,शर्मा,2
152,उपप्रमुख,साह,5
153,उपप्रमुख,सुडी,1
154,उपप्रमुख,श्रेष्‍ठ,6
155,उपप्रमुख,प्यासी,1
156,उपप्रमुख,पुडासैनी,1
157,उपप्रमुख,जोशी,2
158,उपप्रमुख,सत्याल,1
159,उपप्रमुख,पाख्रीन,1
160,उपप्रमुख,पुरी,1
161,उपप्रमुख,मल्ल,1
162,उपप्रमुख,खतिवडा,1
163,उपप्रमुख,बुढाथोकी(खड्का),1
164,उपप्रमुख,देवकोटा,2
165,उपप्रमुख,काफ्‍ले,2
166,उपप्रमुख,गौतम,3
167,उपप्रमुख,"गौतम,पोखरेल",1
