S.No,LocalBodyName,Post,District,State,Winner,GovernmentAllianceVote,UMLVote
1,सन्दकपुर गाउँपालिका,अध्यक्ष,इलाम,1,उदय बहादुर राई,2694,4529
2,मदाने गाउँपालिका,अध्यक्ष,गुल्मी,5,दान बहादुर खत्री क्षेत्री,3721,4423
3,निस्दी गाउँपालिका,अध्यक्ष,पाल्पा,5,मुक्त बहादुर सारु,2983,5320
4,तामाकोशी  गाउँपालिका,अध्यक्ष,दोलखा,3,इश्‍वर चन्द्र पोखरेल,3836,4615
5,मादी गाउँपालिका,अध्यक्ष,कास्की,4,बेद बहादुर गुरुङ्ग,4333,4637
6,फेदीखोला गाउँपालिका,अध्यक्ष,स्याङ्जा,4,घनश्‍याम सुवेदी,2148,3806
7,गोसाईकुण्ड गाउँपालिका,अध्यक्ष,रसुवा,3,कैसाङ नुर्पु तामाङ,1667,1828
8,मेलुङ  गाउँपालिका,अध्यक्ष,दोलखा,3,नर बहादुर श्रेष्ठ,4443,4475
9,काईके गाउँपालिका,अध्यक्ष,डोल्पा,6,अंगद कुमार राना,80,920
10,फेदाप  गाउँपालिका,अध्यक्ष,तेर्हथुम,1,हरि प्रसाद चोङवाङ लिम्बू,3288,3439
11,मंगला गाउँपालिका,अध्यक्ष,म्याग्दी,4,सत प्रसाद रोका,2631,3649
12,भीमफेदी गाउँपालिका,अध्यक्ष,मकवानपुर,3,हिदम लामा,3746,3842
13,चामे गाउँपालिका,अध्यक्ष,मनाङ्ग,4,लोकेन्द्र वहादुर घले,173,214
14,गल्छी गाउँपालिका,अध्यक्ष,धादिङ्ग,3,कृष्ण हरी श्रेष्ठ,5445,6051
15,छार्का ताङसोङ गाउँपालिका,अध्यक्ष,डोल्पा,6,सेनाङ गुरुङ,0,282
16,विरुवा गाउँपालिका,अध्यक्ष,स्याङ्जा,4,चुन प्रसाद शर्मा,3350,4403
17,थाक्रे गाउँपालिका,अध्यक्ष,धादिङ्ग,3,राम कुमार आचार्य,6724,8234
18,रुरु गाउँपालिका,अध्यक्ष,गुल्मी,5,निलकण्ठ गौतम,3763,5222
19,कुम्मायक गाउँपालिका,अध्यक्ष,पाँचथर,1,जय बहादुर चेम्जोङ्ग,2413,3226
20,आँधीखोला गाउँपालिका,अध्यक्ष,स्याङ्जा,4,सुधिर कुमार पौडेल,3384,5041
21,ईन्द्र सरोवर गाउँपालिका,अध्यक्ष,मकवानपुर,3,जीवन लामा,2765,3204
22,आठराई  गाउँपालिका,अध्यक्ष,तेर्हथुम,1,मान बहादुर लिम्बु,3828,3847
23,ईस्मा गाउँपालिका,अध्यक्ष,गुल्मी,5,लक्षमण बहादुर विष्‍ट,4080,5055
24,विजयनगर गाउँपालिका,अध्यक्ष,कपिलवस्तु,5,गोपाल बहादुर थापा,1923,3512
25,खाल्सा छिन्ताङ सहीदभूमि गाउँपालिका,अध्यक्ष,धनकुटा,1,मनोज राई,3184,4054
26,रम्भा गाउँपालिका,अध्यक्ष,पाल्पा,5,विष्‍णु प्रसाद भण्‍डारी,4421,4767
27,गजुरी गाउँपालिका,अध्यक्ष,धादिङ्ग,3,राजेन्‍द्र बिक्रम बस्‍नेत,4173,4336
28,मालारानी गाउँपालिका,अध्यक्ष,अर्घाखांची,5,बालकृष्ण शर्मा(आचार्य),6155,6503
29,छत्रकोट गाउँपालिका,अध्यक्ष,गुल्मी,5,मधुकृष्ण पन्त,5125,5551
30,मोदी गाउँपालिका,अध्यक्ष,पर्वत,4,प्रेम शर्मा पौडेल,4623,5643
31,काठेखोला गाउँपालिका,अध्यक्ष,बागलुङ,4,अमर बहादुर थापा,5286,6696
32,खुम्वु पासाङल्हमु गाउँपालिका,अध्यक्ष,सोलुखुम्बु,1,ङिम दोर्जी शेर्पा,1410,1424
33,मुखियापट्टी मुसहरमिया गाउँपालिका,अध्यक्ष,धनुषा,2,मनोज कुमार यादव,3330,3540
34,धवलागिरी गाउँपालिका,अध्यक्ष,म्याग्दी,4,थमसरा पुन,2168,2490
35,घिरिङ गाउँपालिका,अध्यक्ष,तनहुँ,4,रन बहादुर राना,3443,3730
36,हतुवागढी गाउँपालिका,अध्यक्ष,भोजपुर,1,प्रेम कुमार राई,3260,3496
37,सिम्ता गाउँपालिका,अध्यक्ष,सुर्खेत,6,कविन्द्र कुमार के.सी,5280,5355
38,नेस्याङ गाउँपालिका,अध्यक्ष,मनाङ्ग,4,कान्छा घले,461,627
39,पूर्वखोला गाउँपालिका,अध्यक्ष,पाल्पा,5,नुन बहादुर थापा,1744,5636
