S.No,LocalBodyName,Post,District,State,Winner,GovernmentAllianceVote,UMLVote
40,भैरवी गाउँपालिका,अध्यक्ष,दैलेख,6,प्रेम बहादुर बुढा,3438,3584
41,गौरिशंकर  गाउँपालिका,अध्यक्ष,दोलखा,3,सोयम बहादुर खड्का,3440,4249
42,रूपा गाउँपालिका,अध्यक्ष,कास्की,4,नवराज ओझा,3700,4212
43,महाशिला गाउँपालिका,अध्यक्ष,पर्वत,4,राजु प्रसाद पौडेल,2201,2453
44,माईजोगमाई गाउँपालिका,अध्यक्ष,इलाम,1,जीत बहादुर राई,4718,5696
45,स्वामीकार्तिक गाउँपालिका,अध्यक्ष,बाजुरा,7,चिरन्जिवी शाही,2223,2459
46,क्व्होलासोथार गाउँपालिका,अध्यक्ष,लमजुंग,4,प्रेम बहादुर घले,1900,3144
47,हिलिहाङ गाउँपालिका,अध्यक्ष,पाँचथर,1,भुवानी प्रसाद लिङदेन,4024,4169
48,ट्याम्केमैयुम गाउँपालिका,अध्यक्ष,भोजपुर,1,ध्रुवराज राई,2632,2780
49,गौमुल गाउँपालिका,अध्यक्ष,बाजुरा,7,हरी वहादुर रोकाया,1556,2240
50,छथर गाउँपालिका,अध्यक्ष,तेर्हथुम,1,सन्त वीर लिम्बु,3244,3426
51,सागुरीगढी गाउँपालिका,अध्यक्ष,धनकुटा,1,कुमार जंग याखा,4028,4449
52,डोल्पो बुद्ध गाउँपालिका,अध्यक्ष,डोल्पा,6,तेम्वा गुरुङ,0,311
53,मर्स्याङदी गाउँपालिका,अध्यक्ष,लमजुंग,4,अर्जुन गुरुङ,3839,4712
54,कालिन्चोक  गाउँपालिका,अध्यक्ष,दोलखा,3,विन कुमार थामी,4267,4601
55,छथर जोरपाटी गाउँपालिका,अध्यक्ष,धनकुटा,1,शेर बहादुर लिम्बु,1972,3349
