S.No,LocalBodyName,WardNo,Post,District,State,Winner,GovernmentAllianceVote,UMLVote
75,बौधीमाई नगरपालिका,7,वडा अध्यक्ष,रौतहट,2,विजय कुमार प्रसाद कुशवाहा,623,642
76,ईन्द्र सरोवर गाउँपालिका,5,वडा अध्यक्ष,मकवानपुर,3,धनराज महर्जन,470,528
77,धरान उपमहानगरपालिका,13,वडा अध्यक्ष,सुनसरी,1,नेत्र प्रसाद काफ्‍ले,1209,1650
78,तामाकोशी  गाउँपालिका,7,वडा अध्यक्ष,दोलखा,3,लेख बहादुर सुनुवार,264,539
79,कमल गाउँपालिका,5,वडा अध्यक्ष,झापा,1,डम्बर बहादुर निरौला,1309,1339
80,पाणिनी गाउँपालिका,3,वडा अध्यक्ष,अर्घाखांची,5,देवि बहादुर क्षेत्री,740,940
81,पनौती नगरपालिका,12,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,इश्‍वर राज जंगम,624,1118
82,निस्दी गाउँपालिका,5,वडा अध्यक्ष,पाल्पा,5,भिम बहादुर वयम्वु,655,912
83,शैलुङ  गाउँपालिका,7,वडा अध्यक्ष,दोलखा,3,धावा वाङ्गेल लामा,324,636
84,दार्मा गाउँपालिका,1,वडा अध्यक्ष,सल्यान,6,कवी कुमार चन्द,316,598
85,स्वर्गद्वारी नगरपालिका,9,वडा अध्यक्ष,प्यूठान,5,नर वहादुर वि. एम.,449,587
86,गोकर्णेश्वर नगरपालिका,2,वडा अध्यक्ष,काठमाडौं,3,कृष्ण वहादुर पण्डित,548,645
87,सिदिङ्वा गाउँपालिका,1,वडा अध्यक्ष,ताप्लेजुंग,1,विजय प्रकाश चापाँगाइ,78,126
88,तिलोत्तमा नगरपालिका,12,वडा अध्यक्ष,रुपन्देही,5,सहदेव थारु,812,983
89,सिम्ता गाउँपालिका,3,वडा अध्यक्ष,सुर्खेत,6,नहकुले बुढा,442,751
90,मेरिङदेन गाउँपालिका,1,वडा अध्यक्ष,ताप्लेजुंग,1,लाक्पा तेम्बा शेर्पा,346,418
91,षडानन्द नगरपालिका,6,वडा अध्यक्ष,भोजपुर,1,सुजन राई,359,438
92,टोखा नगरपालिका,10,वडा अध्यक्ष,काठमाडौं,3,मधुसुदन पाण्डे,680,683
93,बुढानिलकण्ठ नगरपालिका,1,वडा अध्यक्ष,काठमाडौं,3,सुरेन्द्र लामा,504,677
94,लेटाङ नगरपालिका,5,वडा अध्यक्ष,मोरङ्ग,1,"भुम बहादुर सुर्य,मगर",829,1139
95,गोकुलगङ्गा गाउँपालिका,3,वडा अध्यक्ष,रामेछाप,3,नर बिक्रम कार्की,595,991
96,नेत्रावती गाउँपालिका,5,वडा अध्यक्ष,धादिङ्ग,3,डम्‍बर बहादुर अधिकारी,576,582
97,दुधकौशिका गाउँपालिका,2,वडा अध्यक्ष,सोलुखुम्बु,1,उदय नारायण बस्नेत,397,446
98,देवदह नगरपालिका,9,वडा अध्यक्ष,रुपन्देही,5,केशव प्रसाद भट्टराई,815,1029
99,खजुरा गाउँपालिका,2,वडा अध्यक्ष,बाँके,5,देवी लाल शर्मा,2069,2240
100,भेरीगंगा नगरपालिका,13,वडा अध्यक्ष,सुर्खेत,6,टीकाराम सुवेदी,859,869
101,चैनपुर नगरपालिका,5,वडा अध्यक्ष,संखुवासभा,1,काली बहादुर लिम्वु,252,323
102,गल्छी गाउँपालिका,6,वडा अध्यक्ष,धादिङ्ग,3,राजन श्रेष्ठ,652,677
103,मर्स्याङदी गाउँपालिका,9,वडा अध्यक्ष,लमजुंग,4,नारायण वहादुर थापा,579,823
104,खुम्वु पासाङल्हमु गाउँपालिका,3,वडा अध्यक्ष,सोलुखुम्बु,1,मिङमा छिरी शेर्पा,267,280
105,महाशिला गाउँपालिका,1,वडा अध्यक्ष,पर्वत,4,इश्‍वरी प्रसाद भुसाल,383,413
106,रम्भा गाउँपालिका,2,वडा अध्यक्ष,पाल्पा,5,उमान सिं सारु,609,867
107,तिनपाटन गाउँपालिका,11,वडा अध्यक्ष,सिन्धुली,3,हित लाल श्रेष्‍ठ,684,723
108,पाँचपोखरी थाङपाल  गाउँपालिका,2,वडा अध्यक्ष,सिन्धुपाल्चोक,3,पासाङ लामा,474,475
109,भगवतीमाई गाउँपालिका,1,वडा अध्यक्ष,दैलेख,6,मान बहादुर बुढा,463,516
110,हिमाली गाउँपालिका,2,वडा अध्यक्ष,बाजुरा,7,धन रुप बुढा,162,252
111,चाँगुनारायण नगरपालिका,3,वडा अध्यक्ष,भक्तपुर,3,श्याम सुन्दर धिमाल,1229,1362
112,चामुण्डा विन्द्रासैनी नगरपालिका,8,वडा अध्यक्ष,दैलेख,6,विर बहादुर शाही,362,382
113,लेटाङ नगरपालिका,2,वडा अध्यक्ष,मोरङ्ग,1,तेज प्रसाद तिम्‍सीना,993,1219
114,तामाकोशी  गाउँपालिका,4,वडा अध्यक्ष,दोलखा,3,होम बहादुर श्रेष्ठ,547,721
115,ओमसतिया गाउँपालिका,1,वडा अध्यक्ष,रुपन्देही,5,बेल बहादुर बराल मगर,514,636
