S.No,LocalBodyName,WardNo,Post,District,State,Winner,GovernmentAllianceVote,UMLVote
230,पुतलीबजार नगरपालिका,9,वडा अध्यक्ष,स्याङ्जा,4,लिल प्रसाद गुरुङ्,385,505
231,निलकण्ठ नगरपालिका,12,वडा अध्यक्ष,धादिङ्ग,3,बाबुराम लम्साल,590,618
232,गल्छी गाउँपालिका,2,वडा अध्यक्ष,धादिङ्ग,3,सडा नन्द खनाल,663,1011
233,मुड्केचुला गाउँपालिका,4,वडा अध्यक्ष,डोल्पा,6,जग बहादुर बुढा,94,108
234,रेसुङ्गा नगरपालिका,7,वडा अध्यक्ष,गुल्मी,5,मोहन प्रसाद पाण्डे,479,565
235,फुङलिङ नगरपालिका,2,वडा अध्यक्ष,ताप्लेजुंग,1,मोहन न्यौपाने,433,459
236,ललितपुर महानगरपालिका,2,वडा अध्यक्ष,ललितपुर,3,राजेश कुमार महर्जन,1347,1838
237,भुम्लु गाउँपालिका,4,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,लोक बहादुर कुवँर,306,621
238,हल्दीवारी गाउँपालिका,1,वडा अध्यक्ष,झापा,1,त्रिलोचन सापकोटा,1208,1643
239,उमाकुण्ड गाउँपालिका,6,वडा अध्यक्ष,रामेछाप,3,कृष्‍ण कुमार सुनुवार,256,409
240,सुन्दरबजार नगरपालिका,5,वडा अध्यक्ष,लमजुंग,4,ललित गुरुङ,483,516
241,घिरिङ गाउँपालिका,3,वडा अध्यक्ष,तनहुँ,4,रण बहादुर गुरुङ्ग,414,887
242,हिलिहाङ गाउँपालिका,4,वडा अध्यक्ष,पाँचथर,1,श्री प्रसाद शिगु,460,538
243,चाँगुनारायण नगरपालिका,8,वडा अध्यक्ष,भक्तपुर,3,परासर सापकोटा,1065,1196
244,रुवी भ्याली गाउँपालिका,6,वडा अध्यक्ष,धादिङ्ग,3,नर मान गुरुङ,63,96
245,पुतलीबजार नगरपालिका,12,वडा अध्यक्ष,स्याङ्जा,4,दुत प्रसाद गुरुङ्ग,305,373
246,अमरगढी नगरपालिका,9,वडा अध्यक्ष,डडेलधुरा,7,भिम बहादुर रोकाया,305,322
247,कागेश्वरी मनोहरा नगरपालिका,3,वडा अध्यक्ष,काठमाडौं,3,राममणी पुडासैनी,623,680
248,खुम्वु पासाङल्हमु गाउँपालिका,1,वडा अध्यक्ष,सोलुखुम्बु,1,ङिमा दोर्जे शेर्पा,352,455
249,बडीमालिका नगरपालिका,4,वडा अध्यक्ष,बाजुरा,7,सुरेन्द्र नाथ,145,149
250,दूधपोखरी गाउँपालिका,3,वडा अध्यक्ष,लमजुंग,4,तिलक वहादुर गुरुङ,189,317
251,इलाम नगरपालिका,1,वडा अध्यक्ष,इलाम,1,अम्बिका गौतम,888,1083
252,निजगढ नगरपालिका,6,वडा अध्यक्ष,बारा,2,कुश बहादुर थापा,606,736
253,पोखरा लेखनाथ महानगरपालिका,31,वडा अध्यक्ष,कास्की,4,कमल वहादुर थापा क्षेत्री,1719,1761
254,व्यास नगरपालिका,4,वडा अध्यक्ष,तनहुँ,4,विश्‍व राज न्यौपाने,505,903
255,जयपृथ्वी नगरपालिका,9,वडा अध्यक्ष,बझाङ्ग,7,बजिर बहादुर खडका,194,199
256,मिथिला नगरपालिका,2,वडा अध्यक्ष,धनुषा,2,विहारी महतो कोइरी,1024,1145
257,बेनीघाट रोराङ्ग गाउँपालिका,6,वडा अध्यक्ष,धादिङ्ग,3,देव कृष्ण आले मगर,376,535
258,हिमा गाउँपालिका,2,वडा अध्यक्ष,जुम्ला,6,नैन सिंह रोकाया,169,239
259,हिलिहाङ गाउँपालिका,5,वडा अध्यक्ष,पाँचथर,1,लक्ष्मी प्रसाद सुहाङ,609,706
260,कमल गाउँपालिका,4,वडा अध्यक्ष,झापा,1,प्रेम बहादुर राई,1186,1228
261,झापा गाउँपालिका,6,वडा अध्यक्ष,झापा,1,हरि बहादुर बानिया,734,907
262,तानसेन नगरपालिका,1,वडा अध्यक्ष,पाल्पा,5,राम प्रसाद बस्याल,606,620
263,विदुर नगरपालिका,1,वडा अध्यक्ष,नुवाकोट,3,लेनिन रन्जित,623,728
264,खाँडाचक्र नगरपालिका,7,वडा अध्यक्ष,कालिकोट,6,रज बहादुर मल्ल,140,141
