S.No,Post,Age,Count
1,अध्यक्ष,21-29,5
2,अध्यक्ष,60-69,46
3,अध्यक्ष,70-79,11
4,अध्यक्ष,50-59,123
5,अध्यक्ष,30-39,92
6,अध्यक्ष,40-49,183
