S.No,Post,Age,Count
1,वडा अध्यक्ष,50-59,1745
2,वडा अध्यक्ष,30-39,1576
3,वडा अध्यक्ष,70-79,86
4,वडा अध्यक्ष,60-69,675
5,वडा अध्यक्ष,21-29,239
6,वडा अध्यक्ष,40-49,2420
7,वडा अध्यक्ष,80-89,1
