S.No,Post,Age,Count
1,उपप्रमुख,60-69,10
2,उपप्रमुख,70-79,1
3,उपप्रमुख,40-49,108
4,उपप्रमुख,30-39,85
5,उपप्रमुख,50-59,72
6,उपप्रमुख,21-29,17
