S.No,Post,Age,Count
1,प्रमुख,50-59,102
2,प्रमुख,40-49,101
3,प्रमुख,60-69,39
4,प्रमुख,30-39,43
5,प्रमुख,21-29,3
6,प्रमुख,70-79,5
